virtual mem: 9108,	physical mem: 48276,	 value: 0
virtual mem: 65305,	physical mem: 30489,	 value: 0
virtual mem: 19575,	physical mem: 22647,	 value: 29
virtual mem: 11117,	physical mem: 40045,	 value: 0
virtual mem: 65170,	physical mem: 48530,	 value: 63
virtual mem: 58013,	physical mem: 3229,	 value: 0
virtual mem: 61676,	physical mem: 23276,	 value: 0
virtual mem: 63510,	physical mem: 28182,	 value: 62
virtual mem: 17458,	physical mem: 41010,	 value: 17
virtual mem: 54675,	physical mem: 48787,	 value: 100
virtual mem: 1713,	physical mem: 43697,	 value: 0
virtual mem: 55105,	physical mem: 5185,	 value: 0
virtual mem: 65321,	physical mem: 30505,	 value: 0
virtual mem: 45278,	physical mem: 49118,	 value: 44
virtual mem: 26256,	physical mem: 49296,	 value: 0
virtual mem: 64198,	physical mem: 4550,	 value: 62
virtual mem: 29441,	physical mem: 49409,	 value: 0
virtual mem: 1928,	physical mem: 33160,	 value: 0
virtual mem: 39425,	physical mem: 43265,	 value: 0
virtual mem: 32000,	physical mem: 49664,	 value: 0
virtual mem: 28549,	physical mem: 28037,	 value: 0
virtual mem: 46295,	physical mem: 50135,	 value: 53
virtual mem: 22772,	physical mem: 3060,	 value: 0
virtual mem: 58228,	physical mem: 34164,	 value: 0
virtual mem: 63525,	physical mem: 28197,	 value: 0
virtual mem: 32602,	physical mem: 9562,	 value: 31
virtual mem: 46195,	physical mem: 50035,	 value: 28
virtual mem: 55849,	physical mem: 34601,	 value: 0
virtual mem: 46454,	physical mem: 50294,	 value: 45
virtual mem: 7487,	physical mem: 6207,	 value: 79
virtual mem: 33879,	physical mem: 42071,	 value: 21
virtual mem: 42004,	physical mem: 46100,	 value: 0
virtual mem: 8599,	physical mem: 20119,	 value: 101
virtual mem: 18641,	physical mem: 5585,	 value: 0
virtual mem: 49015,	physical mem: 50551,	 value: -35
virtual mem: 26830,	physical mem: 42702,	 value: 26
virtual mem: 34754,	physical mem: 18114,	 value: 33
virtual mem: 14668,	physical mem: 33356,	 value: 0
virtual mem: 38362,	physical mem: 20442,	 value: 37
virtual mem: 38791,	physical mem: 46983,	 value: -31
virtual mem: 4171,	physical mem: 50763,	 value: 18
virtual mem: 45975,	physical mem: 51095,	 value: -27
virtual mem: 14623,	physical mem: 33311,	 value: 71
virtual mem: 62393,	physical mem: 23993,	 value: 0
virtual mem: 64658,	physical mem: 6546,	 value: 63
virtual mem: 10963,	physical mem: 12499,	 value: -76
virtual mem: 9058,	physical mem: 48226,	 value: 8
virtual mem: 51031,	physical mem: 42839,	 value: -43
virtual mem: 32425,	physical mem: 7081,	 value: 0
virtual mem: 45483,	physical mem: 45995,	 value: 106
virtual mem: 44611,	physical mem: 11075,	 value: -112
virtual mem: 63664,	physical mem: 28336,	 value: 0
virtual mem: 54920,	physical mem: 3720,	 value: 0
virtual mem: 7663,	physical mem: 6383,	 value: 123
virtual mem: 56480,	physical mem: 51360,	 value: 0
virtual mem: 1489,	physical mem: 51665,	 value: 0
virtual mem: 28438,	physical mem: 27926,	 value: 27
virtual mem: 65449,	physical mem: 30633,	 value: 0
virtual mem: 12441,	physical mem: 45209,	 value: 0
virtual mem: 58530,	physical mem: 15522,	 value: 57
virtual mem: 63570,	physical mem: 28242,	 value: 62
virtual mem: 26251,	physical mem: 49291,	 value: -94
virtual mem: 15972,	physical mem: 21092,	 value: 0
virtual mem: 35826,	physical mem: 44018,	 value: 34
virtual mem: 5491,	physical mem: 21619,	 value: 92
virtual mem: 54253,	physical mem: 51949,	 value: 0
virtual mem: 49655,	physical mem: 45559,	 value: 125
virtual mem: 5868,	physical mem: 52204,	 value: 0
virtual mem: 20163,	physical mem: 40643,	 value: -80
virtual mem: 51079,	physical mem: 42887,	 value: -31
virtual mem: 21398,	physical mem: 9110,	 value: 20
virtual mem: 32756,	physical mem: 9716,	 value: 0
virtual mem: 64196,	physical mem: 4548,	 value: 0
virtual mem: 43218,	physical mem: 17618,	 value: 42
virtual mem: 21583,	physical mem: 52303,	 value: 19
virtual mem: 25086,	physical mem: 52734,	 value: 24
virtual mem: 45515,	physical mem: 46027,	 value: 114
virtual mem: 12893,	physical mem: 30301,	 value: 0
virtual mem: 22914,	physical mem: 52866,	 value: 22
virtual mem: 58969,	physical mem: 14937,	 value: 0
virtual mem: 20094,	physical mem: 40574,	 value: 19
virtual mem: 13730,	physical mem: 53154,	 value: 13
virtual mem: 44059,	physical mem: 53275,	 value: 6
virtual mem: 28931,	physical mem: 16387,	 value: 64
virtual mem: 13533,	physical mem: 36317,	 value: 0
virtual mem: 33134,	physical mem: 53614,	 value: 32
virtual mem: 28483,	physical mem: 27971,	 value: -48
virtual mem: 1220,	physical mem: 40900,	 value: 0
virtual mem: 38174,	physical mem: 20254,	 value: 37
virtual mem: 53502,	physical mem: 35582,	 value: 52
virtual mem: 43328,	physical mem: 29504,	 value: 0
virtual mem: 4970,	physical mem: 13674,	 value: 4
virtual mem: 8090,	physical mem: 33946,	 value: 7
virtual mem: 2661,	physical mem: 53861,	 value: 0
virtual mem: 53903,	physical mem: 54159,	 value: -93
virtual mem: 11025,	physical mem: 39953,	 value: 0
virtual mem: 26627,	physical mem: 42499,	 value: 0
virtual mem: 18117,	physical mem: 18885,	 value: 0
virtual mem: 14505,	physical mem: 5801,	 value: 0
virtual mem: 61528,	physical mem: 23128,	 value: 0
virtual mem: 20423,	physical mem: 16839,	 value: -15
virtual mem: 26962,	physical mem: 26962,	 value: 26
virtual mem: 36392,	physical mem: 14376,	 value: 0
virtual mem: 11365,	physical mem: 54373,	 value: 0
virtual mem: 50882,	physical mem: 26306,	 value: 49
virtual mem: 41668,	physical mem: 41924,	 value: 0
virtual mem: 30497,	physical mem: 16161,	 value: 0
virtual mem: 36216,	physical mem: 54648,	 value: 0
virtual mem: 5619,	physical mem: 21747,	 value: 124
virtual mem: 36983,	physical mem: 18295,	 value: 29
virtual mem: 59557,	physical mem: 26021,	 value: 0
virtual mem: 36663,	physical mem: 35639,	 value: -51
virtual mem: 36436,	physical mem: 14420,	 value: 0
virtual mem: 37057,	physical mem: 18369,	 value: 0
virtual mem: 23585,	physical mem: 54817,	 value: 0
virtual mem: 58791,	physical mem: 55207,	 value: 105
virtual mem: 46666,	physical mem: 55370,	 value: 45
virtual mem: 64475,	physical mem: 5083,	 value: -10
virtual mem: 21615,	physical mem: 52335,	 value: 27
virtual mem: 41090,	physical mem: 8834,	 value: 40
virtual mem: 1771,	physical mem: 43755,	 value: -70
virtual mem: 47513,	physical mem: 32153,	 value: 0
virtual mem: 39338,	physical mem: 55722,	 value: 38
virtual mem: 1390,	physical mem: 51566,	 value: 1
virtual mem: 38772,	physical mem: 46964,	 value: 0
virtual mem: 58149,	physical mem: 34085,	 value: 0
virtual mem: 7196,	physical mem: 43036,	 value: 0
virtual mem: 9123,	physical mem: 48291,	 value: -24
virtual mem: 7491,	physical mem: 6211,	 value: 80
virtual mem: 62616,	physical mem: 408,	 value: 0
virtual mem: 15436,	physical mem: 31820,	 value: 0
virtual mem: 17491,	physical mem: 41043,	 value: 20
virtual mem: 53656,	physical mem: 920,	 value: 0
virtual mem: 26449,	physical mem: 24401,	 value: 0
virtual mem: 34935,	physical mem: 26743,	 value: 29
virtual mem: 19864,	physical mem: 36504,	 value: 0
virtual mem: 51388,	physical mem: 32700,	 value: 0
virtual mem: 15155,	physical mem: 32307,	 value: -52
virtual mem: 64775,	physical mem: 2055,	 value: 65
virtual mem: 47969,	physical mem: 25697,	 value: 0
virtual mem: 16315,	physical mem: 55995,	 value: -18
virtual mem: 1342,	physical mem: 51518,	 value: 1
virtual mem: 51185,	physical mem: 42993,	 value: 0
virtual mem: 6043,	physical mem: 9371,	 value: -26
virtual mem: 21398,	physical mem: 9110,	 value: 20
virtual mem: 3273,	physical mem: 40393,	 value: 0
virtual mem: 9370,	physical mem: 22938,	 value: 9
virtual mem: 35463,	physical mem: 56199,	 value: -95
virtual mem: 28205,	physical mem: 34861,	 value: 0
virtual mem: 2351,	physical mem: 4655,	 value: 75
virtual mem: 28999,	physical mem: 16455,	 value: 81
virtual mem: 47699,	physical mem: 56403,	 value: -108
virtual mem: 46870,	physical mem: 19734,	 value: 45
virtual mem: 22311,	physical mem: 11303,	 value: -55
virtual mem: 22124,	physical mem: 56684,	 value: 0
virtual mem: 22427,	physical mem: 11419,	 value: -26
virtual mem: 49344,	physical mem: 8640,	 value: 0
virtual mem: 23224,	physical mem: 36024,	 value: 0
virtual mem: 5514,	physical mem: 21642,	 value: 5
virtual mem: 20504,	physical mem: 56856,	 value: 0
virtual mem: 376,	physical mem: 57208,	 value: 0
virtual mem: 2014,	physical mem: 33246,	 value: 1
virtual mem: 38700,	physical mem: 46892,	 value: 0
